,Year,Team,QB1,RB1,RB2,WR1,WR2,WR3,TE
0,2022,KC,Patrick Mahomes,Jerick McKinnon,Isiah Pacheco,JuJu Smith-Schuster,Marquez Valdes-Scantling,Mecole Hardman,Travis Kelce
1,2022,BUF,Josh Allen,Devin Singletary,James Cook,Stefon Diggs,Gabriel Davis,Isaiah McKenzie,Dawson Knox
2,2022,WAS,Taylor Heinicke,Antonio Gibson,Brian Robinson,Terry McLaurin,Curtis Samuel,Jahan Dotson,Logan Thomas
3,2022,LAC,Justin Herbert,Austin Ekeler,Joshua Kelley,Mike Williams,Josh Palmer,Keenan Allen,Gerald Everett
4,2022,BAL,Lamar Jackson,Kenyan Drake,J.K. Dobbins,Demarcus Robinson,Devin Duvernay,Rashod Bateman,Mark Andrews
5,2022,PHI,Jalen Hurts,Miles Sanders,Kenny Gainwell,A.J. Brown,DeVonta Smith,Quez Watkins,T.J. Hockenson
6,2022,NO,Andy Dalton,Alvin Kamara,Mark Ingram,Chris Olave,Rashid Shaheed,Jarvis Landry,Juwan Johnson
7,2022,MIN,Kirk Cousins,Dalvin Cook,Latavius Murray,Justin Jefferson,Adam Thielen,K.J. Osborn,Irv Smith
8,2022,ARI,Kyler Murray,James Conner,Corey Clement,Marquise Brown,DeAndre Hopkins,Greg Dortch,Zach Ertz
9,2022,CIN,Joe Burrow,Joe Mixon,Samaje Perine,Ja'Marr Chase,Tee Higgins,Tyler Boyd,Hayden Hurst
10,2022,TEN,Ryan Tannehill,Derrick Henry,Dontrell Hilliard,Robert Woods,Treylon Burks,Nick Westbrook,Austin Hooper
11,2022,NYG,Daniel Jones,Saquon Barkley,Matt Breida,Richie James,Darius Slayton,Wan'Dale Robinson,Daniel Bellinger
12,2022,ATL,Marcus Mariota,Tyler Allgeier,Cordarrelle Patterson,Drake London,Olamide Zaccheaus,Damiere Byrd,Kyle Pitts
13,2022,HOU,Davis Mills,Dameon Pierce,Rex Burkhead,Brandin Cooks,Chris Moore,Nico Collins,Jordan Akins
14,2022,SEA,Geno Smith,Kenneth Walker,DeeJay Dallas,Tyler Lockett,D.K. Metcalf,Marquise Goodwin,Noah Fant
15,2022,CLE,Jacoby Brissett,Christian McCaffrey,Nick Chubb,Amari Cooper,Donovan Peoples-Jones,Robby Anderson,David Njoku
16,2022,DEN,Russell Wilson,Melvin Gordon,Javonte Williams,Jerry Jeudy,Courtland Sutton,Kendall Hinton,Greg Dulcich
17,2022,DET,Jared Goff,Jamaal Williams,D'Andre Swift,Amon-Ra St. Brown,Kalif Raymond,Josh Reynolds,Brock Wright
18,2022,IND,Matt Ryan,Jonathan Taylor,Deon Jackson,Michael Pittman,Parris Campbell,Alec Pierce,Jelani Woods
19,2022,LV,Derek Carr,Josh Jacobs,Ameer Abdullah,Davante Adams,Mack Hollins,Hunter Renfrow,Foster Moreau
20,2022,CHI,Justin Fields,David Montgomery,Khalil Herbert,Darnell Mooney,Dante Pettis,Equanimeous St. Brown,Cole Kmet
21,2022,NYJ,Zach Wilson,Michael Carter,Breece Hall,Garrett Wilson,Corey Davis,Elijah Moore,Tyler Conklin
22,2022,MIA,Tua Tagovailoa,Raheem Mostert,Alec Ingold,Tyreek Hill,Jaylen Waddle,Trent Sherfield,Mike Gesicki
23,2022,JAX,Trevor Lawrence,Travis Etienne,James Robinson,Christian Kirk,Zay Jones,Marvin Jones,Evan Engram
24,2022,PIT,Kenny Pickett,Najee Harris,Jaylen Warren,Diontae Johnson,George Pickens,Chase Claypool,Pat Freiermuth
25,2022,TB,Tom Brady,Leonard Fournette,Rachaad White,Chris Godwin,Mike Evans,Russell Gage,Cade Otton
26,2022,NE,Mac Jones,Rhamondre Stevenson,Damien Harris,Jakobi Meyers,DeVante Parker,Kendrick Bourne,Hunter Henry
27,2022,SF,Jimmy Garoppolo,Jeffery Wilson,Kyle Juszczyk,Brandon Aiyuk,Deebo Samuel,Jauan Jennings,George Kittle
28,2022,LA,Matthew Stafford,Cam Akers,Kyren Williams,Cooper Kupp,Bennett Skowronek,Allen Robinson,Tyler Higbee
29,2022,DAL,Dak Prescott,Tony Pollard,Ezekiel Elliott,CeeDee Lamb,Noah Brown,Michael Gallup,Dalton Schultz
30,2022,GB,Aaron Rodgers,Aaron Jones,AJ Dillon,Allen Lazard,Christian Watson,Romeo Doubs,Robert Tonyan
31,2022,CAR,Sam Darnold,D'Onta Foreman,Chuba Hubbard,D.J. Moore,Terrace Marshall,Laviska Shenault,Tommy Tremble
